review,rating,date,bank,source,sentiment_label,sentiment_score,theme
CBE ይለያል።,5,2025-11-29,CBE,Google Play,POSITIVE,0.9886477589607239,General
it's special for me,5,2025-11-29,CBE,Google Play,POSITIVE,0.9998202919960022,General
Make it user friendly.,2,2025-11-29,CBE,Google Play,POSITIVE,0.9920620918273926,General
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,NEGATIVE,0.9875526428222656,General
good app,5,2025-11-28,CBE,Google Play,POSITIVE,0.9998493194580078,General
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,POSITIVE,0.9984679818153381,Features
why didn't work this app?,1,2025-11-27,CBE,Google Play,NEGATIVE,0.9991324543952942,General
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play,POSITIVE,0.9996963739395142,General
this app very bad 👎,1,2025-11-27,CBE,Google Play,NEGATIVE,0.9997968077659607,General
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,NEGATIVE,0.9565094709396362,General
Good application,4,2025-11-27,CBE,Google Play,POSITIVE,0.999854564666748,General
It is nice app,5,2025-11-26,CBE,Google Play,POSITIVE,0.9998478889465332,General
best,5,2025-11-25,CBE,Google Play,POSITIVE,0.9997941851615906,General
good app,5,2025-11-25,CBE,Google Play,POSITIVE,0.9998493194580078,General
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,NEGATIVE,0.9993435740470886,General
nice app...,5,2025-11-25,CBE,Google Play,POSITIVE,0.9997116923332214,General
very good banking service and fast service,5,2025-11-24,CBE,Google Play,POSITIVE,0.9998499155044556,General
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,POSITIVE,0.9971639513969421,General
good,5,2025-11-24,CBE,Google Play,POSITIVE,0.9998161196708679,General
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,NEGATIVE,0.9984826445579529,General
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,NEGATIVE,0.9856644868850708,General
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,NEGATIVE,0.8832131028175354,General
wow,5,2025-11-23,CBE,Google Play,POSITIVE,0.999592125415802,General
good,5,2025-11-23,CBE,Google Play,POSITIVE,0.9998161196708679,General
nice,5,2025-11-22,CBE,Google Play,POSITIVE,0.9998552799224854,General
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,NEGATIVE,0.9818922877311707,General
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,POSITIVE,0.9998483657836914,General
excellent,5,2025-11-22,CBE,Google Play,POSITIVE,0.9998434782028198,General
good,5,2025-11-21,CBE,Google Play,POSITIVE,0.9998161196708679,General
ዳጊ,5,2025-11-21,CBE,Google Play,NEGATIVE,0.6970565915107727,General
absolutely right,5,2025-11-21,CBE,Google Play,POSITIVE,0.9998525381088257,General
good app,5,2025-11-21,CBE,Google Play,POSITIVE,0.9998493194580078,General
mid application it's so annoying,3,2025-11-20,CBE,Google Play,NEGATIVE,0.9997883439064026,General
I used morethan one year,4,2025-11-20,CBE,Google Play,NEGATIVE,0.9802079796791077,General
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,NEGATIVE,0.9920698404312134,General
"It's great app,I love this app",5,2025-11-20,CBE,Google Play,POSITIVE,0.9998750686645508,General
Nice,5,2025-11-19,CBE,Google Play,POSITIVE,0.9998552799224854,General
suckkkks,1,2025-11-19,CBE,Google Play,NEGATIVE,0.9737536311149597,General
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,NEGATIVE,0.9991471767425537,Features
I love you this app,5,2025-11-19,CBE,Google Play,POSITIVE,0.9998642206192017,General
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play,POSITIVE,0.9993645548820496,General
make life easy,5,2025-11-19,CBE,Google Play,POSITIVE,0.999527096748352,UI/UX
securr,5,2025-11-19,CBE,Google Play,NEGATIVE,0.989194393157959,General
My most optional bank,5,2025-11-17,CBE,Google Play,POSITIVE,0.7555266618728638,General
5 star,5,2025-11-17,CBE,Google Play,POSITIVE,0.9964116215705872,General
it is fantastic app.,5,2025-11-16,CBE,Google Play,POSITIVE,0.9998733997344971,General
excellent,5,2025-11-16,CBE,Google Play,POSITIVE,0.9998434782028198,General
