review_text,rating,review_date,bank_id,bank_name
CBE ይለያል።,5,2025-11-29,com.combanketh.mobilebanking,CBE
it's special for me,5,2025-11-29,com.combanketh.mobilebanking,CBE
Make it user friendly.,2,2025-11-29,com.combanketh.mobilebanking,CBE
maaliif daddafee install gaafata,3,2025-11-28,com.combanketh.mobilebanking,CBE
good app,5,2025-11-28,com.combanketh.mobilebanking,CBE
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,com.combanketh.mobilebanking,CBE
why didn't work this app?,1,2025-11-27,com.combanketh.mobilebanking,CBE
The app makes our life easier. Thank you CBE!,5,2025-11-27,com.combanketh.mobilebanking,CBE
this app very bad 👎,1,2025-11-27,com.combanketh.mobilebanking,CBE
the most advanced app. but how to stay safe?,5,2025-11-27,com.combanketh.mobilebanking,CBE
Good application,4,2025-11-27,com.combanketh.mobilebanking,CBE
It is nice app,5,2025-11-26,com.combanketh.mobilebanking,CBE
best,5,2025-11-25,com.combanketh.mobilebanking,CBE
good app,5,2025-11-25,com.combanketh.mobilebanking,CBE
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,com.combanketh.mobilebanking,CBE
nice app...,5,2025-11-25,com.combanketh.mobilebanking,CBE
very good banking service and fast service,5,2025-11-24,com.combanketh.mobilebanking,CBE
thanks blc this app help me to use all time,5,2025-11-24,com.combanketh.mobilebanking,CBE
good,5,2025-11-24,com.combanketh.mobilebanking,CBE
why we can't send money to other people telebirr wallets??,1,2025-11-24,com.combanketh.mobilebanking,CBE
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,com.combanketh.mobilebanking,CBE
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,com.combanketh.mobilebanking,CBE
wow,5,2025-11-23,com.combanketh.mobilebanking,CBE
good,5,2025-11-23,com.combanketh.mobilebanking,CBE
nice,5,2025-11-22,com.combanketh.mobilebanking,CBE
you are the reason why i got ye chogara himem,1,2025-11-22,com.combanketh.mobilebanking,CBE
it is so smart app i recommend it for everyone,5,2025-11-22,com.combanketh.mobilebanking,CBE
excellent,5,2025-11-22,com.combanketh.mobilebanking,CBE
good,5,2025-11-21,com.combanketh.mobilebanking,CBE
